			Temp	Pulses	ElapsedIn	ElapsedOut	LpH		In	Out	Total	
Temp	0		0	1	529	60000	35,44		35,82	0,32	35,50	
Pulses	1		0	1	529	1010	24,49		35,82	18,76	17,06	26,28
ElapsedIn	529		0	2	1357	1010	13,56		13,96	18,76	-4,80	15,92
ElapsedOut	60000		0	2	1357	1460	9,8		13,96	12,98	0,99	
LpH	35,44		0	3	1218	1460	7,87		15,56	12,98	2,58	
Temp	0		0	3	1218	1482	6,62		15,56	12,79	2,77	
Pulses	1		0	4	1059	1482	6,06		17,89	12,79	5,11	
ElapsedIn	529		0	4	1059	1482	6,06		17,89	12,79	5,11	
ElapsedOut	1010		0	5	1061	1482	5,64		17,86	12,79	5,07	
LpH	24,49		0	5	1061	1483	5,31		17,86	12,78	5,08	
Temp	0		0	6	665	1483	6,11		28,49	12,78	15,72	
Pulses	2		0	7	652	1483	3,96		29,06	12,78	16,28	
ElapsedIn	1357		0	7	652	1470	3,98		29,06	12,89	16,17	
ElapsedOut	1010		0	8	647	1470	6,21		29,29	12,89	16,40	
LpH	13,56		0	9	811	1470	7,16		23,36	12,89	10,47	
Temp	0		0	9	811	1466	7,95		23,36	12,92	10,44	
Pulses	2		0	10	691	1466	9,12		27,42	12,92	14,50	
ElapsedIn	1357		0	10	691	1466	9,12		27,42	12,92	14,50	
ElapsedOut	1460		0	11	1048	1466	9,12		18,08	12,92	5,16	
LpH	9,8		0	11	1048	1471	9,13		18,08	12,88	5,20	
Temp	0		0	11	1048	1471	9,13		18,08	12,88	5,20	
Pulses	3		0	11	1048	1475	9,14		18,08	12,85	5,23	
ElapsedIn	1218		0	12	1900	1475	7,28		9,97	12,85	-2,87	
ElapsedOut	1460		0	12	1900	1475	7,28		9,97	12,85	-2,87	
LpH	7,87		0	13	1072	1475	6,14		17,67	12,85	4,83	
Temp	0		0	13	1072	1484	5,01		17,67	12,77	4,91	
Pulses	3		0	14	848	1484	4,33		22,34	12,77	9,58	
ElapsedIn	1218		0	14	848	1474	4,23		22,34	12,85	9,49	
ElapsedOut	1482		0	15	840	1474	4,16		22,56	12,85	9,70	
LpH	6,62		0	16	359	1474	6,71		52,78	12,85	39,92	
Temp	0		0	17	295	1474	11,33		64,23	12,85	51,37	
Pulses	4		0	17	295	1464	15,94		64,23	12,94	51,29	
ElapsedIn	1059		0	18	842	1464	16,37		22,50	12,94	9,56	
ElapsedOut	1482		0	19	842	1464	17,61		22,50	12,94	9,56	
LpH	6,06		0	19	842	1462	18,08		22,50	12,96	9,54	
Temp	0		0	20	858	1462	18,5		22,08	12,96	9,12	
Pulses	4		0	21	868	1462	18,42		21,83	12,96	8,87	
ElapsedIn	1059		0	22	184	1462	26,47		102,98	12,96	90,02	
ElapsedOut	1482		0	22	184	1473	34,51		102,98	12,86	90,11	
LpH	6,06		0	23	352	1473	34,62		53,83	12,86	40,96	
Temp	0		0	24	511	1473	31,9		37,08	12,86	24,22	
